id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link,,,
3357,04-12-2011,,,Saint Vincent and the Grenadines,VC,Charlotte,1680,Georgetown,1.4524,,13.2767,-61.1372,"(13.2767, -61.1372)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.stabroeknews.com/2011/news/breaking/04/15/major-damage-in-st-vincent-from-flash-flooding/,12-04-2011,2011,4
3358,04-12-2011,Morning,,United States,US,Kentucky,5955,Bellevue,1.26817,,39.1153,-84.4881,"(39.115299999999998, -84.488100000000003)",Landslide,Landslide,Small,Downpour,,,0,,http://news.cincinnati.com/article/20110412/NEWS01/304120021/Mudslide-slows-Columbia-Parkway?odyssey=tab%7Cmostpopular%7Ctext%7CFRONTPAGE,12-04-2011,2011,4
3359,4/13/11,,SA,Colombia,CO,Caldas,357814,Manizales,1.07765,,5.0657,-75.5082,"(5.0656999999999996, -75.508200000000002)",Landslide,Landslide,Small,Downpour,,,0,,http://colombiareports.com/colombia-news/news/15586-landslide-sweeps-away-bus-with-18-passengers-.html,13-04-2011,2011,4
3360,4/13/11,Evening,SA,Colombia,CO,Caldas,35302,Villamaría,15.82404,,5.0343,-75.3723,"(5.0343, -75.372299999999996)",Landslide,Landslide,Large,Downpour,,,20,,http://www.reuters.com/article/2011/04/14/us-colombia-landslide-idUSTRE73D64D20110414,13-04-2011,2011,4
3361,4/13/11,Morning,,United States,US,Pennsylvania,305704,Pittsburgh,1.29731,,40.432,-80.0062,"(40.432000000000002, -80.006200000000007)",Landslide,Complex,Small,Continuous rain,,,0,,http://www.wtae.com/allegheny/27528624/detail.html,13-04-2011,2011,4
3362,4/13/11,Night,SA,Colombia,CO,Antioquia,10191,Santa Rosa de Osos,18.91189,Unknown,6.468,-74.9411,"(6.468, -74.941100000000006)",Landslide,Landslide,Medium,Downpour,,,4,El Espectador,http://www.elespectador.com/impreso/temadeldia/articulo-263257-vuelven-lluvias-y-tragedias,13-04-2011,2011,4
3363,4/14/11,12:30:00,,United States,US,Pennsylvania,1929,West Homestead,1.91993,,40.3782,-79.9213,"(40.3782, -79.921300000000002)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.pittsburghlive.com/x/pittsburghtrib/news/pittsburgh/s_732380.html,14-04-2011,2011,4
3364,4/14/11,02:00:00,,United States,US,Pennsylvania,1171,Bradford Woods,2.06885,,40.6525,-80.0671,"(40.652500000000003, -80.067099999999996)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.wtae.com/news/27543935/detail.html,14-04-2011,2011,4
3365,4/15/11,,SA,Colombia,CO,Santander,1227,Florián,0.44753,,5.8044,-73.9743,"(5.8044000000000002, -73.974299999999999)",Landslide,Mudslide,Large,Downpour,,,11,,http://www.laht.com/article.asp?ArticleId=391822&CategoryId=12393,15-04-2011,2011,4
3367,4/16/11,,SA,Colombia,CO,Cundinamarca,1577,San Antonio del Tequendama,6.08628,,4.6502,-74.399,"(4.6501999999999999, -74.399000000000001)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.theprovince.com/life/Watering+down+Colombia+coffee+crops/4737599/story.html,16-04-2011,2011,4
